Name,"Size (in decimal digits)","Karatsuba Threshold","Toom3 Threshold","Runs (in hyperfine)","Mean (all times in s)",Stdev,Min,Max
Simple,"20000","-","-","10","11.071",0.251,10.749,11.595
Simple,"25000","-","-","10","17.201",0.301,16.787,17.684
Simple,"30000","-","-","10","24.759",0.687,23.717,25.611
Simple,"35000","-","-","10","32.797",0.602,31.671,33.623
Simple,"40000","-","-","10","42.898",0.997,40.981,44.385
Simple,"45000","-","-","10","54.598",1.154,52.720,56.895
Simple,"50000","-","-","10","66.195",2.060,64.425,71.544
Simple + Karatsuba,"20000","64","-","10","10.724",0.252,10.247,11.167
Simple + Karatsuba,"20000","128","-","10","10.692",0.190,10.382,11.069
Simple + Karatsuba,"20000","256","-","10","10.778",0.148,10.560,11.032
Simple + Karatsuba,"20000","512","-","10","10.832",0.192,10.581,11.121
Simple + Karatsuba,"20000","1024","-","10","10.813",0.197,10.620,11.275
Simple + Karatsuba,"20000","2048","-","10","10.818",0.194,10.454,11.034
Simple + Karatsuba,"20000","3072","-","10","10.879",0.140,10.713,11.061
Simple + Karatsuba,"25000","64","-","10","16.655",0.243,16.310,17.007
Simple + Karatsuba,"25000","128","-","10","16.761",0.317,16.215,17.254
Simple + Karatsuba,"25000","256","-","10","16.532",0.250,16.140,16.976
Simple + Karatsuba,"25000","512","-","10","16.862",0.272,16.491,17.218
Simple + Karatsuba,"25000","1024","-","10","16.882",0.465,16.370,17.717
Simple + Karatsuba,"25000","2048","-","10","16.743",0.450,15.933,17.340
Simple + Karatsuba,"25000","3072","-","10","17.146",0.252,16.761,17.497
Simple + Karatsuba,"30000","64","-","10","24.552",0.319,24.248,25.153
Simple + Karatsuba,"30000","128","-","10","24.311",0.405,23.697,25.110
Simple + Karatsuba,"30000","256","-","10","24.246",0.398,23.382,24.740
Simple + Karatsuba,"30000","512","-","10","24.433",0.604,23.333,25.422
Simple + Karatsuba,"30000","1024","-","10","24.390",0.544,23.711,25.454
Simple + Karatsuba,"30000","2048","-","10","24.503",0.471,23.432,24.980
Simple + Karatsuba,"30000","3072","-","10","23.776",0.377,23.256,24.352
Simple + Karatsuba,"35000","2048","-","10","32.550",0.624,31.791,33.473
Simple + Karatsuba,"35000","3072","-","10","31.997",0.545,30.990,32.648
